entry,kegg,comp,name,chebi,uncharged_formula,formula,charge,external
C06408_[cyt],C06408,cyt,Precorrin 8X,28629,C45H60N4O14,C45H53N4O14,-7,False
C06416_[cyt],C06416,cyt,Precorrin 5,27630,C45H54N4O17,C45H46N4O17,-8,False
C06503_[cyt],C06503,cyt,"Hydrogenobyrinate a,c diamide",27914,C45H62N6O12,C45H58N6O12,-4,False
C06504_[cyt],C06504,cyt,"Cob(II)yrinate a,c diamide",27937,C45H61CoN6O12,C45CoH56N6O12,-4,False
C06505_[cyt],C06505,cyt,"Cob(I)yrinate a,c diamide",28531,C45H61CoN6O12,C45CoH57N6O12,-4,False
C06506_[cyt],C06506,cyt,"Adenosyl cobyrinate a,c diamide",2482,C55H73CoN11O15,C55CoH68N11O15,-4,False
C06507_[cyt],C06507,cyt,Adenosyl cobyrinate hexaamide,2483,C55H77CoN15O11,C55CoH76N15O11,0,False
C06509_[cyt],C06509,cyt,Adenosyl cobinamide phosphate,2481,C58H85CoN16O14P,C58CoH83N16O14P,-1,False
C06510_[cyt],C06510,cyt,Adenosine-GDP-cobinamide,2479,C68H97CoN21O21P2,C68CoH95N21O21P2,-1,False
C06704_[cyt],C06704,cyt,Iron chelate,-,R,-,-,False
C06704_[ext],C06704,ext,Iron chelate,-,R,-,-,True
C07335_[cyt],C07335,cyt,2-Amino-3-oxo-4-phosphonooxybutyrate,16273,C4H8NO7P,C4H6NO7P,-2,False
C08591_[cyt],C08591,cyt,beta-Cryptoxanthin,10362,C40H56O,C40H56O,0,False
C08592_[cyt],C08592,cyt,Echinenone,4746,C40H54O,C40H54O,0,False
C10385_[cym],C10385,cym,Plastoquinone-9,28377,C53H80O2,C53H80O2,0,False
C10385_[cyt],C10385,cyt,Plastoquinone-9,28377,C53H80O2,C53H80O2,0,False
C10385_[tlm],C10385,tlm,Plastoquinone-9,28377,C53H80O2,C53H80O2,0,False
C10385_B6_S_[cym],C10385,cym,Plastoquinone located at the stromal side of the Cytochrome-b6/f complex,28377,C53H80O2,C53H80O2,0,False
C10385_B6_S_[tlm],C10385,tlm,Plastoquinone located at the stromal side of the Cytochrome-b6/f complex,28377,C53H80O2,C53H80O2,0,False
C10517_[cyt],C10517,cyt,2-(beta-D-Glucosyl)-sn-glycerol 3-phosphate,16720,C9H19O11P,C9H17O11P,-2,False
C11355_[cyt],C11355,cyt,4-Amino-4-deoxychorismate,18198,C10H11NO5,C10H10NO5,-1,False
C11434_[cyt],C11434,cyt,2-C-Methyl-D-erythritol 4-phosphate,17764,C5H13O7P,C5H11O7P,-2,False
C11435_[cyt],C11435,cyt,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,16578,C14H25N3O14P2,C14H23N3O14P2,-2,False
C11436_[cyt],C11436,cyt,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,16840,C14H26N3O17P3,C14H22N3O17P3,-4,False
C11437_[cyt],C11437,cyt,1-Deoxy-D-xylulose 5-phosphate,16493,C5H11O7P,C5H9O7P,-2,False
C11453_[cyt],C11453,cyt,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",18425,C5H12O9P2,C5H10O9P2,-2,False
C11521_[cyt],C11521,cyt,UDP-6-sulfoquinovose,15855,C15H24N2O19P2S,C15H21N2O19P2S,-3,False
C11546_[cyt],C11546,cyt,2-(beta-D-Glucosyl)-sn-glycerol,17765,C9H18O8,C9H18O8,0,False
C11638_[cyt],C11638,cyt,3-Amino-2-oxopropyl phosphate,1449,C3H8NO5P,C3H7NO5P,-1,False
C11811_[cyt],C11811,cyt,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,15664,C5H12O8P2,C5H10O8P2,-2,False
C11829_[cyt],C11829,cyt,13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester,15434,C35H34MgN4O5,C35H33MgN4O5,-1,False
C11830_[cyt],C11830,cyt,13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester,15433,C35H32MgN4O5,C35H31MgN4O5,-1,False
C11831_[cyt],C11831,cyt,Divinylprotochlorophyllide,30619,C35H30MgN4O5,C35H28MgN4O5,-2,False
C11907_[cyt],C11907,cyt,"4,6-Dideoxy-4-oxo-dTDP-D-glucose",-,C16H24N2O15P2,-,-,False
C12147_[cyt],C12147,cyt,L-Threonine O-3-phosphate,37525,C4H10NO6P,C4H8NO6P,-2,False
C13309_[cyt],C13309,cyt,"2-Phytyl-1,4-naphthoquinone",31087,C30H44O2,C30H44O2,0,False
C13508_SQDG_[cyt],C13508,cyt,Sulfoquinovosyldiacylglycerol,-,C11H16O12SR2,-,-,False
C14151_[cyt],C14151,cyt,delta-Tocopherol,47772,C27H46O2,C27H46O2,0,False
C14152_[cyt],C14152,cyt,beta-Tocopherol,47771,C28H48O2,C28H48O2,0,False
C14463_[cyt],C14463,cyt,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,34008,C6H10O4,C6H9O4,-1,False
C14818_[cyt],C14818,cyt,Fe2+,29033,Fe,Fe,2,False
C14818_[ext],C14818,ext,Fe2+,29033,Fe,Fe,2,True
C14819_[cyt],C14819,cyt,Fe3+,29034,Fe,Fe,3,False
C14819_[ext],C14819,ext,Fe3+,29034,Fe,Fe,3,True
C15547_[cyt],C15547,cyt,"1,4-Dihydroxy-2-naphthoyl-CoA",52668,C32H42N7O19P3S,C32H38N7O19P3S,-4,False
C15556_[cyt],C15556,cyt,"3,4-Dihydroxy-2-butanone 4-phosphate",50606,C4H9O6P,C4H7O6P,-2,False
C15667_[cyt],C15667,cyt,5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole,48000,C9H14N3O9P,C9H11N3O9P,-3,False
C15670_[cyt],C15670,cyt,Heme A,61715,C49H56FeN4O6,C49FeH54N4O6,-2,False
C15672_[cyt],C15672,cyt,Heme O,36301,C49H58FeN4O5,C49FeH56N4O5,-2,False
C15811_[cyt],C15811,cyt,[Enzyme]-cysteine,-,C4H6N2O2SR2,-,-,True
C15812_[cyt],C15812,cyt,[Enzyme]-S-sulfanylcysteine,-,C4H6N2O2S2R2,-,-,True
C15882_[cyt],C15882,cyt,2-Methyl-6-phytylquinol,-,C27H46O2,-,-,False
C15883_[cyt],C15883,cyt,"2,3-Dimethyl-5-phytylquinol",-,C28H48O2,-,-,False
C15966_[cyt],C15966,cyt,3-Hydroxyechinenone,-,C40H54O2,-,-,False
C16160_[cyt],C16160,cyt,Linoleoyl-[acyl-carrier protein],-,C18H31OSR,-,-,False
C16161_[cyt],C16161,cyt,alpha-Linolenoyl-ACP,-,C18H29OSR,-,-,False
C16219_[cyt],C16219,cyt,3-Oxostearoyl-[acp],-,C18H33O2SR,-,-,False
C16220_[cyt],C16220,cyt,3-Hydroxyoctadecanoyl-[acp],-,C18H35O2SR,-,-,False
C16221_[cyt],C16221,cyt,(2E)-Octadecenoyl-[acp],-,C18H33OSR,-,-,False
C16519_[cyt],C16519,cyt,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,-,C14H16O9,-,-,False
C16520_[cyt],C16520,cyt,Hexadecenoyl-[acyl-carrier protein],-,C16H29OSR,-,-,False
C16695_[cym],C16695,cym,Plastoquinol-9,28026,C53H82O2,C53H82O2,0,False
C16695_[tlm],C16695,tlm,Plastoquinol-9,28026,C53H82O2,C53H82O2,0,False
C17556_[cyt],C17556,cyt,"di-trans,poly-cis-Undecaprenyl phosphate",60468,C55H91O4P,C55H89O4P,-2,False
C17570_[cyt],C17570,cyt,"2-Methyl-6-solanyl-1,4-benzoquinol",-,C52H80O2,-,-,False
E1_[ext],-,ext,Photon,-,R,-,-,True
E1_[tlm],-,tlm,Photon,-,R,-,-,False
E1_P680_[tlm],-,tlm,Photons with 680nm wavelength,-,R,-,-,False
E1_P700_[tlm],-,tlm,Photons with 700nm wavelength,-,R,-,-,False
E10_[cyt],-,cyt,Cyanophycin,-,C10H17N5O4R,-,-,False
E10N_[cyt],-,cyt,Cyanophycin polymer,-,R,-,-,True
E11_[cyt],-,cyt,Peptidoglycan,-,C37H59N7O20,-,-,False
E17_[cyt],-,cyt,gamma-Linolenoyl-ACP        ,-,C18H29OSR,-,-,False
E19_[cyt],-,cyt,5-Deoxy-D-ribose ,-,C5H10O4,-,-,False
E19_[ext],-,ext,5-Deoxy-D-ribose ,-,C5H10O4,-,-,True
E36_[cyt],-,cyt,Stearidonoyl-[acp],-,C18H27OSR,-,-,False
HB2p_B6_[cym],-,cym,"Heme B located in the Cytochrome-b6/f complex, twice protonated",-,R,-,-,False
HB2p_B6_[tlm],-,tlm,"Heme B located in the Cytochrome-b6/f complex, twice protonated",-,R,-,-,False
HB3p_B6_[cym],-,cym,"Heme B located in the Cytochrome-b6/f complex, triply protonated ",-,R,-,-,False
HB3p_B6_[tlm],-,tlm,"Heme B located in the Cytochrome-b6/f complex, triply protonated ",-,R,-,-,False
ORieske_B6_[cym],-,cym,Oxidized rieske_B6,-,R,-,-,False
ORieske_B6_[tlm],-,tlm,Oxidized rieske_B6,-,R,-,-,False
P680_[tlm],-,tlm,Neutral reaction centre of the Photosystem II (light with 680 nm is sufficient for the excitation of the one reaction center),-,R,-,-,False
P680p_[tlm],-,tlm,Positive charged reaction centre of the Photosystem II (light with 680 nm is sufficient for the excitation of the one reaction center),-,R,-,-,False
P700_[tlm],-,tlm,Uncharged reaction centre of the Photosystem I (light with 700 nm is sufficient for the excitation of the one reaction center),-,R,-,-,False
P700p_[tlm],-,tlm,Positive charged reaction centre of the Photosystem I (light with 700 nm is sufficient for the excitation of the one reaction center),-,R,-,-,False
PQH_B6_L_[cym],-,cym,Plastosemiquinone located at the luminal side of the Cytochrome-b6/f complex,-,C53H81O2,-,-,False
PQH_B6_L_[tlm],-,tlm,Plastosemiquinone located at the luminal side of the Cytochrome-b6/f complex,-,C53H81O2,-,-,False
PQH_B6_S_[cym],-,cym,Plastosemiquinone located at the stromal side of the Cytochrome-b6/f complex,-,C53H81O2,-,-,False
PQH_B6_S_[tlm],-,tlm,Plastosemiquinone located at the stromal side of the Cytochrome-b6/f complex,-,C53H81O2,-,-,False
PQn_P680_[tlm],-,tlm,Semiplastoquinone radical loosely bound to the Photosystem II (can except one further electron),-,C53H81O2,-,-,False
QA_P680_[tlm],-,tlm,Internal bound plastoquinone of the Photosystem II,-,C53H80O2,-,-,False
QAn_P680_[tlm],-,tlm,Internal bound semiquinone radical of the Photosystem II ,-,C53H80O2,-,-,False
RRieske_B6_[cym],-,cym,Reduced rieske_B6,-,R,-,-,False
RRieske_B6_[tlm],-,tlm,Reduced rieske_B6,-,R,-,-,False
S0_P680_[tlm],-,tlm,Starting state of a cluster of probably four manganese atoms ,-,R,-,-,False
S1_P680_[tlm],-,tlm,First oxidation state of the cluster of manganese atoms in the Photosystem II (needed for water splitting),-,R,-,-,False
S2_P680_[tlm],-,tlm,Second oxidation state of the cluster of manganese atoms in the Photosystem II (needed for water splitting),-,R,-,-,False
S3_P680_[tlm],-,tlm,Third oxidation state of the cluster of manganese atoms in the Photosystem II (needed for water splitting),-,R,-,-,False
S4_P680_[tlm],-,tlm,Fourth oxidation state of the cluster of manganese atoms in the Photosystem II (needed for water splitting),-,R,-,-,False
