entry,kegg,comp,name,chebi,uncharged_formula,formula,charge,external
C02191_[cyt],C02191,cyt,Protoporphyrin,15430,C34H34N4O4,C34H32N4O4,-2,False
C02226_[cyt],C02226,cyt,2-Methylmaleate,17626,C5H6O4,C5H4O4,-2,False
C02463_[cyt],C02463,cyt,Precorrin 2,50602,C42H48N4O16,C42H41N4O16,-7,False
C02477_[cyt],C02477,cyt,alpha-Tocopherol,18145,C29H50O2,C29H50O2,0,False
C02483_[cyt],C02483,cyt,gamma-Tocopherol,18185,C28H48O2,C28H48O2,0,False
C02504_[cyt],C02504,cyt,(2S)-2-Isopropylmalate,35128,C7H12O5,C7H10O5,-2,False
C02591_[cyt],C02591,cyt,Sucrose 6-phosphate,16308,C12H23O14P,C12H21O14P,-2,False
C02612_[cyt],C02612,cyt,(R)-2-Methylmalate,15586,C5H8O5,C5H6O5,-2,False
C02631_[cyt],C02631,cyt,2-Isopropylmaleate,17275,C7H10O4,C7H8O4,-2,False
C02637_[cyt],C02637,cyt,3-Dehydroshikimate,30918,C7H8O5,C7H7O5,-1,False
C02730_[cyt],C02730,cyt,2-Succinylbenzoate,18325,C11H10O5,C11H8O5,-2,False
C02739_[cyt],C02739,cyt,1-(5-Phospho-D-ribosyl)-ATP,18263,C15H25N5O20P4,C15H20N5O20P4,-5,False
C02741_[cyt],C02741,cyt,Phosphoribosyl-AMP,18374,C15H23N5O14P2,C15H19N5O14P2,-4,False
C02880_[cyt],C02880,cyt,Protochlorophyllide,16673,C35H32MgN4O5,C35H30MgN4O5,-2,False
C02967_[cyt],C02967,cyt,DNA 5-methylcytosine,-,C10H16N3O7PR,-,-,True
C02987_[cyt],C02987,cyt,L-Glutamyl-tRNA(Glu),29157,C20H28N6O13PR,-,-,False
C03025_[pps],C03025,pps,Reduced plastocyanin,-,R,-,-,False
C03025_[tll],C03025,tll,Reduced plastocyanin,-,R,-,-,False
C03082_[cyt],C03082,cyt,4-Phospho-L-aspartate,15836,C4H8NO7P,C4H6NO7P,-2,False
C03090_[cyt],C03090,cyt,5-Phosphoribosylamine,37737,C5H12NO7P,C5H11NO7P,-1,False
C03114_[cyt],C03114,cyt,Dimethylbenzimidazole,15890,C9H10N2,C9H10N2,0,False
C03160_[cyt],C03160,cyt,2-Succinylbenzoyl-CoA,15509,C32H44N7O20P3S,C32H39N7O20P3S,-5,False
C03162_[pps],C03162,pps,Oxidized plastocyanin,-,R,-,-,False
C03162_[tll],C03162,tll,Oxidized plastocyanin,-,R,-,-,False
C03175_[cyt],C03175,cyt,Shikimate 3-phosphate,17052,C7H11O8P,C7H8O8P,-3,False
C03232_[cyt],C03232,cyt,3-Phosphonooxypyruvate,30933,C3H5O7P,C3H5O7P,0,False
C03263_[cyt],C03263,cyt,Coproporphyrinogen III,15439,C36H44N4O8,C36H40N4O8,-4,False
C03287_[cyt],C03287,cyt,L-Glutamyl 5-phosphate,17798,C5H10NO7P,C5H8NO7P,-2,False
C03319_[cyt],C03319,cyt,dTDP-6-deoxy-L-mannose,15774,C16H26N2O15P2,C16H24N2O15P2,-2,False
C03340_[cyt],C03340,cyt,"L-2,3-Dihydrodipicolinate",18042,C7H7NO4,C7H5NO4,-2,False
C03373_[cyt],C03373,cyt,Aminoimidazole ribotide,28843,C8H14N3O7P,C8H13N3O7P,-1,False
C03393_[cyt],C03393,cyt,4-Phospho-D-erythronate,49003,C4H9O8P,C4H6O8P,-3,False
C03406_[cyt],C03406,cyt,N-(L-Arginino)succinate,15682,C10H18N4O6,C10H17N4O6,-1,False
C03427_[cyt],C03427,cyt,Prephytoene diphosphate,17090,C40H68O7P2,C40H66O7P2,-2,False
C03451_[cyt],C03451,cyt,(R)-S-Lactoylglutathione,15694,C13H21N3O8S,C13H20N3O8S,-1,False
C03492_[cyt],C03492,cyt,D-4'-Phosphopantothenate,15905,C9H18NO8P,C9H15NO8P,-3,False
C03506_[cyt],C03506,cyt,Indoleglycerol phosphate,18299,C11H14NO6P,C11H12NO6P,-2,False
C03516_[cyt],C03516,cyt,Magnesium protoporphyrin,15431,C34H32MgN4O4,C34H30MgN4O4,-2,False
C03561_[cyt],C03561,cyt,(R)-3-Hydroxybutanoyl-CoA,15452,C25H42N7O18P3S,C25H38N7O18P3S,-4,False
C03657_[cyt],C03657,cyt,"1,4-Dihydroxy-2-naphthoate",18094,C11H8O4,C11H7O4,-1,False
C03692_DGDG_[cyt],C03692,cyt,"1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol_DGDG",17615,C11H16O10R2,C11H16O10R2,-,False
C03692_MGDG_[cyt],C03692,cyt,"1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol_MGDG",17615,C11H16O10R2,C11H16O10R2,-,False
C03722_[cyt],C03722,cyt,"Pyridine-2,3-dicarboxylate",16675,C7H5NO4,C7H3NO4,-2,False
C03741_[cyt],C03741,cyt,(S)-4-Amino-5-oxopentanoate,15757,C5H9NO3,C5H9NO3,0,False
C03771_[cyt],C03771,cyt,5-Guanidino-2-oxopentanoate,28116,C6H11N3O3,C6H11N3O3,0,False
C03794_[cyt],C03794,cyt,"N6-(1,2-Dicarboxyethyl)-AMP",15919,C14H18N5O11P,C14H14N5O11P,-4,False
